diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ,g_psfFluxChi2
609780764988408030,-28.612693121618033,52.99024708042196,130.576,,0.0,684.3386840820312,684.3386840820312,130.57553100585938,684.3386840820312,1.0,,,0.0
630406641052811511,-10.324993695188937,106.24730605546831,,,,,,,,,,,
579575943622823639,-72.441453304678,6.209099383499224,,,,,,,,,,,
611256584470790963,-27.654072401507836,52.88440103061506,127.103,,0.0,1079.8994140625,1079.8994140625,127.10303497314453,1079.8994140625,1.0,,,0.0
609788186691896331,-28.629968381613633,53.235924486426505,129.833,,0.0,672.792724609375,672.7926635742188,129.83273315429688,672.792724609375,1.0,,,2.21e-13
614437746487855437,-24.720913463920166,95.01591562644803,,,,,,,,,,,
630405953858049337,-10.366257033911252,106.17002154442073,308.606,,0.0,1949.5032958984375,1949.5032958984375,308.60589599609375,1949.5032958984375,1.0,,,0.0
628769193361154424,-10.610279537993206,106.3744493745453,395.584,,0.0,2291.256591796875,2291.256591796875,395.5836486816406,2291.256591796875,1.0,,,0.0
628761909096613175,-10.54488532230019,105.92949992119843,,,,,,,,,,,
611254454167016960,-28.12457148386746,52.99148856630036,179.987,,0.0,900.9882202148438,900.9882202148438,179.98684692382812,900.9882202148438,1.0,,,0.0
630407465686533829,-10.132152979304333,105.96331087205212,,,,,,,,,,,
628768987202715784,-10.553213235222923,106.79783540828828,,,,,,,,,,,
614437609048902695,-24.866068675766503,95.3916079058634,,,,,,,,,,,
614436990573610653,-25.02833577216988,95.18074938913928,,,,,,,,,,,
579578005207126527,-71.8110276466654,5.926851170117805,,,,,,,,,,,
579576699537068813,-72.25527843763794,5.640203048257336,,,,,,,,,,,
614430530942795847,-24.799563511613783,94.39016862831727,462.275,550.33389219324,2766.9,16647.4296875,13062.9775390625,206.47413635253906,9151.11328125,5.0,3428.6067507539133,6.519499003058549,225.236
579577455451309161,-72.01538222691092,5.072085356350613,,,,,,,,,,,
630406709772297893,-10.267275197937282,106.02152364177897,,,,,,,,,,,
614437609048902185,-24.75772041234947,95.37995487347766,,,,,,,,,,,
648366407578288487,6.9260192977503445,37.25204998767669,,,,,,,,,,,
